SN,Item Name,Item Price(Rs.),Item Rating(out of 5),Seller Name,Seller Rating(out of 5),Item Link
1,"REDMI 9i (Nature Green, 64 GB)","8,799",4.3,CLIENTEROecom,4.7,https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7KHQFS7&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFV8RYNA4FVEH7.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
2,"REDMI 9i (Midnight Black, 64 GB)","8,799",4.3,TrueComRetail,4.6,https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm0e1018dac2627?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACEV2QOWQ&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFV8RYKWQ3HACE.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
3,"REDMI 9i (Sea Blue, 64 GB)","8,799",4.3,Akshnav Online,4.8,https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itmfb30d06b478fc?pid=MOBFV8RYTHGA8BY9&lid=LSTMOBFV8RYTHGA8BY94NDC4M&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFV8RYTHGA8BY9.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
4,"REDMI 9i Sport (Carbon Black, 64 GB)","8,799",4.4,CLIENTEROecom,4.7,https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itmf582940a5854e?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6DJKEOT&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
5,"REDMI 9 Prime (Space Blue, 64 GB)","10,499",4.4,FestiveDeal,4,https://www.flipkart.com/redmi-9-prime-space-blue-64-gb/p/itme138a7bc1c7f5?pid=MOBFUT9M84NDDYQN&lid=LSTMOBFUT9M84NDDYQNNCSMMB&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFUT9M84NDDYQN.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
6,"REDMI 9 Power (Fiery Red, 64 GB)","13,438",4.3,FestiveDeal,4,https://www.flipkart.com/redmi-9-power-fiery-red-64-gb/p/itmcd78b9bc04aa9?pid=MOBFYZF8XVSHPK5M&lid=LSTMOBFYZF8XVSHPK5M6AFH5O&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFYZF8XVSHPK5M.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
7,"REDMI 9 Power (Mighty Black, 64 GB)","13,380",4.3,CELLOTOWN,4,https://www.flipkart.com/redmi-9-power-mighty-black-64-gb/p/itm481ab234a6553?pid=MOBFYZ94UWPWQRNF&lid=LSTMOBFYZ94UWPWQRNF7DYLXH&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFYZ94UWPWQRNF.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
8,"REDMI Note 10S (Deep Sea Blue, 128 GB)","19,989",4.2,FortuneBuzz,4,https://www.flipkart.com/redmi-note-10s-deep-sea-blue-128-gb/p/itmf34b955692456?pid=MOBG3YW35FNJZJGY&lid=LSTMOBG3YW35FNJZJGYPWH7DH&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG3YW35FNJZJGY.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
9,"REDMI 9 Activ (Metallic Purple, 64 GB)","10,239",4.2,FestiveDeal,4,https://www.flipkart.com/redmi-9-activ-metallic-purple-64-gb/p/itm329ae4068c8e8?pid=MOBG7F5HVHHNVXGK&lid=LSTMOBG7F5HVHHNVXGK4I5WDP&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG7F5HVHHNVXGK.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
10,"Redmi 9 (Carbon Black, 64 GB)","10,990",4.1, MSRETAILSSLP,3.9,https://www.flipkart.com/redmi-9-carbon-black-64-gb/p/itm4fb151383983b?pid=MOBFVHMPGATFZXWR&lid=LSTMOBFVHMPGATFZXWR81C25H&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFVHMPGATFZXWR.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
11,"REDMI 10 Prime (Phantom Black, 64 GB)","13,292",4.3,StoreEcom,4,https://www.flipkart.com/redmi-10-prime-phantom-black-64-gb/p/itm9377b4c936baa?pid=MOBG6RGHHA2DGZZY&lid=LSTMOBG6RGHHA2DGZZYWW0U4K&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG6RGHHA2DGZZY.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
12,"REDMI Note 9 (Pebble Grey, 64 GB)","11,999",3.9,FortuneBuzz,4,https://www.flipkart.com/redmi-note-9-pebble-grey-64-gb/p/itmb9c65ffe0ee74?pid=MOBFU3ZFQ3GAGANG&lid=LSTMOBFU3ZFQ3GAGANG1QDSWB&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFU3ZFQ3GAGANG.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
13,"REDMI Note 10 Lite (Glacier White, 128 GB)","16,999",4.3,SARFBazaar,4,https://www.flipkart.com/redmi-note-10-lite-glacier-white-128-gb/p/itm35fcbefde1d7e?pid=MOBG8YUHANE7SFRH&lid=LSTMOBG8YUHANE7SFRHGZWLIT&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG8YUHANE7SFRH.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
14,"REDMI NOTE 10 LITE (Champagne Gold, 64 GB)","13,589",4.3,VowEshop,4.6,https://www.flipkart.com/redmi-note-10-lite-champagne-gold-64-gb/p/itm35fcbefde1d7e?pid=MOBG8YVBUFJXHWMV&lid=LSTMOBG8YVBUFJXHWMVHX1K3Y&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG8YVBUFJXHWMV.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
15,"REDMI NOTE 10 LITE (Glacier White, 64 GB)","13,499",4.2,SARFBazaar,4,https://www.flipkart.com/redmi-note-10-lite-glacier-white-64-gb/p/itm35fcbefde1d7e?pid=MOBG8YVDY8FZCQDH&lid=LSTMOBG8YVDY8FZCQDH0FB9C2&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG8YVDY8FZCQDH.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
16,"Redmi 9 (Sky Blue, 64 GB)","10,675",4.2,StoreEcom,4,https://www.flipkart.com/redmi-9-sky-blue-64-gb/p/itm4fb151383983b?pid=MOBFV5FPUS8UHG9H&lid=LSTMOBFV5FPUS8UHG9H3UEPLW&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFV5FPUS8UHG9H.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
17,"REDMI Note 10S (Shadow Black, 64 GB)","15,389",4.3,Authorised Seller.,4.1,https://www.flipkart.com/redmi-note-10s-shadow-black-64-gb/p/itmf77ca8e5edabf?pid=MOBG3YW3WDSVGGHC&lid=LSTMOBG3YW3WDSVGGHCBDIJV1&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG3YW3WDSVGGHC.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
18,"REDMI M2101K7BI (Cosmic Purple, 64 GB)","15,790",4.2,eTrade_Online,3.6,https://www.flipkart.com/redmi-m2101k7bi-cosmic-purple-64-gb/p/itm8a69caca543d2?pid=MOBG67ETH7FGZGYQ&lid=LSTMOBG67ETH7FGZGYQPRANRE&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG67ETH7FGZGYQ.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
19,"REDMI Note 10 Pro (Dark Night, 128 GB)","21,149",4.3,Authorised Seller.,4.1,https://www.flipkart.com/redmi-note-10-pro-dark-night-128-gb/p/itm04ba1f0aed358?pid=MOBGFDFXAJHE3KUD&lid=LSTMOBGFDFXAJHE3KUDJSMCIZ&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBGFDFXAJHE3KUD.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
20,"Redmi 9A (SeaBlue, 32 GB)","8,178",4.3,ShreeeMobiles,4.6,https://www.flipkart.com/redmi-9a-seablue-32-gb/p/itmeabd39a0cd669?pid=MOBFVD9ZGTYR2WGR&lid=LSTMOBFVD9ZGTYR2WGRQQOA5R&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFVD9ZGTYR2WGR.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
21,"Redmi 9A (Nature Green, 32 GB)","8,190",4.3,CELLOTOWN,4,https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDA5QCGNZKH9&lid=LSTMOBFVDA5QCGNZKH91T19YK&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFVDA5QCGNZKH9.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
22,"Redmi 9A (Nature Green, 32 GB)","9,079",4.3,Authorised Seller.,4.1,https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAFCKBNXQ7E&lid=LSTMOBFVDAFCKBNXQ7EVWBXDD&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBFVDAFCKBNXQ7E.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
23,"REDMI Note 10 Lite (Interstellar Black, 128 GB)","15,249",4.2,Authorised Seller.,4.1,https://www.flipkart.com/redmi-note-10-lite-interstellar-black-128-gb/p/itm35fcbefde1d7e?pid=MOBG7PVDQUZC2U4Z&lid=LSTMOBG7PVDQUZC2U4ZSCD2YL&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG7PVDQUZC2U4Z.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
24,"REDMI Note 10S (Deep Sea Blue, 64 GB)","15,369",4.3,StoreEcom,4,https://www.flipkart.com/redmi-note-10s-deep-sea-blue-64-gb/p/itmf34b955692456?pid=MOBG3YW6EPFDCMPA&lid=LSTMOBG3YW6EPFDCMPAVQ8JZP&marketplace=FLIPKART&q=redmi+mobile&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=cd8de531-53f4-4af8-a189-2d31881c5adb.MOBG3YW6EPFDCMPA.SEARCH&ppt=None&ppn=None&ssid=f1tsk4rx7k0000001638978275306&qH=32cc053b9c6a5ba2
